days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,February,January,April,August,July,June,March,May,November,October,September,times liked
4,399,2,39,2110,17,13.25,559.25,1,53,0.96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,249
4,189,2,61,1502,13,5,312.5,0,39,0.9878,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,128
5,277,1,41,1898,20,3.4,323.8,1,50,0.9947,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,156
11,254,3,45,1676,8,9.818181818,196.7272727,2,52,0.9877,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120
12,291,2,59,2106,20,2.333333333,157.8333333,1,51,0.9895,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,167
15,213,2,56,1367,12,3,291.2666667,0,22,0.8891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,333
18,464,3,81,2646,12,3.111111111,165.8888889,2,41,0.9675,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,208
19,287,3,49,1572,12,1.578947368,110.6315789,1,38,-0.6938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,217
25,182,1,48,1299,10,0.68,94.92,1,29,0.9942,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,177
26,273,2,53,1594,15,1.653846154,156.0769231,1,38,-0.665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,374
32,308,4,42,1248,20,0.84375,68.4375,2,44,-0.9903,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,179
33,335,3,70,1305,20,4.96969697,146.030303,1,24,0.9723,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,416
39,323,3,48,1530,21,1.025641026,95.84615385,1,36,0.8788,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,345
40,317,3,57,2646,15,5.05,131.35,1,32,0.9896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,508
46,332,3,37,4503,14,1.369565217,111.673913,0,141,0.9953,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,412
47,492,2,50,2341,9,0.340425532,42.04255319,1,53,0.9974,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174
49,136,2,73,573,10,3.93877551,51.97959184,1,15,0.9486,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208
50,423,2,51,2036,17,0.52,56.76,1,55,0.9828,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262
50,304,3,55,2463,21,0.54,52.92,1,62,0.985,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,231
52,548,3,56,4435,12,5.653846154,616.3846154,2,133,0.9975,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2038
53,334,4,53,1274,23,0.773584906,30.01886792,1,33,0.6721,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,146
54,421,2,36,1510,16,1.425925926,112.2037037,0,34,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,465
59,216,2,36,1386,12,0.322033898,49.74576271,2,34,0.9542,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,201
68,1113,2,55,1961,16,0.794117647,52.22058824,1,42,0.958,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,255
69,1298,3,51,497,18,0.449275362,60.56521739,1,11,0.925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,292
70,1618,2,53,598,12,0.4,46.9,1,15,0.9726,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,285
72,1848,3,59,1178,17,1.166666667,71.16666667,1,18,0.8658,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,466
74,252,1,44,1110,8,0.378378378,40.71621622,1,25,0.9827,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,286
74,408,5,84,3368,15,0.310810811,30.13513514,0,51,0.9884,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,210
75,395,2,53,3408,17,1.453333333,116.4933333,1,69,0.9267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,694
81,476,3,48,3171,16,0.555555556,33.51851852,2,65,0.992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,192
82,275,2,36,2270,15,0.5,36.75609756,0,38,-0.9643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271
88,275,1,54,2393,20,0.568181818,38.78409091,0,48,0.9936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,309
89,281,2,64,3155,14,0.393258427,26.17977528,1,73,0.9966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,221
96,359,2,77,2727,14,1.09375,99.52083333,1,43,0.7878,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,752
103,642,1,49,1844,20,0.611650485,88.47572816,2,30,0.9723,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,626
109,354,2,52,2976,20,1,35.91743119,2,57,0.99,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,388
110,292,2,82,3004,17,0.481818182,40.76363636,2,44,-0.4515,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,468
116,266,3,59,2614,13,0.681034483,42.23275862,2,48,-0.7308,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,488
117,355,2,51,2970,20,0.307692308,26.11965812,2,64,0.9103,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,355
123,297,2,60,3312,18,0.569105691,34.3495935,1,53,0.9843,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,318
124,290,2,66,1812,16,0.193548387,22.08870968,0,35,0.993,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,252
128,354,1,64,3206,18,0.2265625,17.21875,3,66,0.8118,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,206
129,1165,1,65,645,18,0.201550388,23.79069767,3,18,0.9624,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,171
130,503,2,47,3191,11,1.315384615,62.36923077,1,45,-0.4857,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,819
137,231,2,38,2781,13,0.496350365,24.30656934,0,52,0.8137,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,310
138,308,1,60,3542,13,0.847826087,60.34057971,0,68,0.9971,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,660
145,311,1,43,2347,16,0.668965517,31.03448276,0,50,0.9919,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,410
151,323,2,67,4541,14,0.675496689,49.0397351,2,83,0.9568,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,657
152,416,6,72,3363,16,0.256578947,17.07894737,2,68,0.9913,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,225
159,297,2,55,2725,13,0.949685535,38.00628931,1,53,0.9756,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,509
166,406,1,60,3226,14,0.722891566,36.69277108,0,49,0.9927,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,591
173,371,3,61,3307,11,0.670520231,20.97687861,0,52,0.9789,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,330
179,151,3,49,760,9,0.374301676,33.88268156,1,23,0.6249,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,349
180,466,3,39,3277,8,0.111111111,15.97222222,0,49,0.9941,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,171
185,475,3,46,2706,15,0.12972973,14.71351351,0,45,0.9939,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,219
186,378,1,57,4053,8,1.166666667,60.24731183,0,83,0.7752,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,760
187,377,1,60,967,10,0.144385027,13.9197861,1,18,0.9617,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,233
190,623,1,50,3144,18,0.305263158,21.79473684,0,52,0.9884,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,310
192,347,3,33,1176,24,0.416666667,22.46354167,1,34,-0.9199,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,323
193,338,2,43,2920,17,0.352331606,24.78238342,1,50,0.991,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,274
194,285,3,54,3064,13,0.226804124,14.63917526,1,64,0.9973,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,311
200,583,2,44,4826,16,0.545,55.075,2,125,0.9897,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,712
207,475,2,53,2936,11,0.608695652,45.42028986,1,41,0.9711,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,888
208,497,2,46,3137,16,0.817307692,35.74038462,1,60,0.9799,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,780
214,328,2,45,2714,17,0.76635514,46.46261682,1,46,-0.961,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,782
215,495,1,66,2976,17,0.255813953,26.19534884,0,49,0.9942,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,480
221,489,0,46,3255,15,0.325791855,30.91855204,1,49,0.9715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,504
223,475,1,50,3202,11,0.488789238,25.47085202,2,70,0.7982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,513
228,481,1,49,3026,15,0.600877193,57.3377193,0,41,0.9947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1034
229,376,2,52,2498,14,1.92139738,188.7729258,0,43,0.933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2324
234,2365,2,50,2038,13,0.696581197,34.91452991,1,23,0.8658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,801
235,372,2,46,2784,11,0.10212766,7.110638298,0,43,0.9578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,113
236,475,2,53,2831,11,0.593220339,74.61440678,1,40,0.9663,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1407
239,434,3,53,3295,8,0.347280335,20.17573222,1,50,0.996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,355
241,456,0,49,3398,9,0.302904564,12.46473029,0,64,0.5484,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,303
242,366,2,43,3678,12,0.466942149,30.69008264,2,76,0.9708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,571
243,497,2,46,3031,16,0.604938272,27.50205761,1,59,0.9757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,738
244,493,1,45,4258,15,0.487704918,16.35245902,3,95,0.9901,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,361
249,415,1,46,3265,14,0.257028112,23.81927711,0,56,-0.8476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,520
255,263,2,21,1758,16,0.223529412,8.431372549,0,20,0.4184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,234
256,488,1,39,2605,18,0.37109375,36.38671875,1,42,0.9676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,604
257,340,1,47,2970,13,0.540856031,25.66536965,0,54,0.9695,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,534
261,510,2,32,3317,11,0.180076628,11.48659004,1,54,0.9981,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,226
263,505,3,57,3312,19,0.220532319,15.36882129,1,55,-0.8021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,403
264,536,1,48,2940,14,0.371212121,21.97727273,1,53,0.9489,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522
269,386,2,56,1714,14,0.197026022,7.691449814,1,21,0.8271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,164
270,464,1,60,2851,14,0.266666667,12.21111111,1,44,-0.8679,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,348
271,475,2,50,3201,22,0.258302583,13.38745387,2,70,0.6632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,366
277,495,0,66,2976,12,0.332129964,28.93501805,0,49,0.9936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,582
278,470,1,59,3109,11,0.309352518,13.27338129,1,61,0.9237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,348
283,490,2,34,1932,10,0.148409894,7.056537102,0,23,0.8992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,174
284,543,1,56,3118,15,0.147887324,12.01760563,0,59,0.9365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,317
285,542,1,48,3090,15,0.312280702,13.63508772,0,42,0.9922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419
287,514,3,42,1791,12,0.160278746,11.1010453,1,22,0.7184,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,280
288,465,4,50,1194,26,0.069444444,6.142361111,1,29,0.9912,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,171
291,577,4,65,3086,13,0.243986254,26.9862543,1,62,0.9949,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,404
292,492,2,65,3198,21,0.133561644,10.06506849,1,45,0.9969,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248
293,346,1,20,2157,3,0.375426621,9.156996587,0,27,0.9195,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,210
299,456,1,40,3209,12,0.274247492,11.66555184,1,50,-0.9436,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,322
302,1176,2,55,1823,9,0.324503311,21.27152318,1,21,0.4696,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,411
305,559,1,58,1375,20,0.347540984,16.44262295,2,31,0.9417,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,540
306,569,5,39,3167,22,0.310457516,13.10457516,0,53,0.9811,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,405
307,713,1,54,1840,12,0.156351792,8.188925081,0,23,0.6645,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,211
308,664,1,54,2306,13,0.344155844,15.17207792,0,36,-0.5473,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,365
312,503,1,53,2808,10,0.371794872,43.72115385,2,60,0.9827,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,627
313,440,1,46,2921,12,0.226837061,10.5399361,2,56,0.9854,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,322
315,384,0,44,2958,19,0.117460317,5.796825397,1,49,0.9813,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,165
318,1066,2,37,298,11,0.172955975,7.204402516,0,3,0.1779,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,154
319,623,1,64,3860,14,0.235109718,9.65830721,2,73,0.9742,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,374
320,513,3,50,2917,12,0.11875,6.309375,1,47,0.9774,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,155
322,311,2,39,1115,7,0.226708075,22.86335404,1,29,0.9825,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,367
324,648,2,43,1753,19,0.092592593,10.81481481,1,21,0.4696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,241
326,552,2,52,2950,12,0.63190184,25.93251534,2,64,0.8962,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,630
327,554,3,52,3826,19,0.47706422,22.98776758,0,50,0.9689,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,630
333,481,1,52,3483,12,0.309309309,10.8048048,1,51,0.9789,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,401
334,512,2,65,3626,11,0.386227545,49.62874251,1,77,-0.3404,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,849
339,371,2,51,773,17,0.324483776,13.77286136,0,8,0.9215,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,356
340,619,1,38,3186,13,0.179411765,10.64705882,2,72,0.9179,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,241
341,528,1,50,3183,14,1.296187683,148.744868,0,58,0.7649,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2666
347,574,1,62,3187,12,0.282420749,13.11527378,1,67,0.9665,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,368
348,509,1,54,1843,14,0.163793103,8.942528736,1,26,0.9579,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,280
355,483,2,46,3733,19,0.123943662,6.918309859,0,87,0.792,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,185
361,516,1,57,3451,12,0.329639889,12.02770083,0,68,-0.991,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,402
362,581,2,45,2962,14,0.928176796,28.22651934,1,50,-0.6949,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,867
367,1809,2,47,2705,18,0.111716621,9.762942779,1,31,0.972,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,220
368,751,0,45,2513,13,0.891304348,129.0326087,1,40,-0.8959,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3093
369,357,2,55,3455,8,0.048780488,6.56097561,0,64,0.991,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,207
375,382,3,58,3277,7,0.242666667,15.336,0,54,0.9754,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,401
376,571,2,43,3963,13,0.255319149,13.8962766,1,56,0.9976,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,513
381,1176,2,36,2747,10,0.199475066,18.74278215,1,43,0.9807,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,436
382,385,5,71,3050,17,0.117801047,7.866492147,4,51,0.9901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,229
389,336,3,50,3770,17,0.393316195,16.36760925,0,76,0.9867,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,231
395,1136,3,45,1985,17,0.086075949,5.865822785,0,26,0.4696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,161
396,535,2,40,3797,13,0.406565657,16.54040404,0,62,0.8318,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,493
397,504,1,37,3279,11,0.667506297,63.92695214,1,65,0.9333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1399
399,425,4,30,3582,14,0.689223058,24.78696742,0,55,0.9931,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,705
402,575,1,48,3961,9,0.281094527,20.62437811,4,97,0.9963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,473
403,620,3,53,3673,13,0.297766749,19.2133995,1,73,0.9803,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,699
404,544,3,23,1787,20,0.155940594,12.32920792,0,23,0.8146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,268
409,2054,2,22,1683,10,0.119804401,8.662591687,1,21,0.5803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,191
410,312,3,43,4651,17,0.080487805,6.002439024,1,67,0.991,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179
411,615,2,43,3085,10,0.510948905,24.1946472,1,49,0.9309,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,769
412,370,2,46,1765,9,0.405339806,15.33980583,0,20,0.4696,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,471
413,754,0,32,1688,6,0.513317191,12.7748184,0,20,0.1109,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,458
414,587,4,44,1703,8,0.326086957,16.11352657,0,20,0.5007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,513
423,693,1,26,1764,16,0.257683215,13.8463357,0,21,0.7882,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,431
423,1914,2,36,3160,20,0.14893617,17.70921986,0,57,0.9707,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,333
424,389,1,48,3060,15,0.094339623,7.049528302,0,64,0.9911,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,225
425,659,1,41,3074,14,0.152941176,9.597647059,0,46,0.9958,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,292
430,995,1,24,1913,18,0.072093023,5.972093023,0,21,0.644,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,145
431,738,3,43,3079,15,1.053364269,81.80974478,0,41,0.994,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1478
432,625,4,53,3596,17,0.125,8.284722222,0,65,0.943,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,289
437,502,1,21,2385,11,0.080091533,6.956521739,1,37,0.782,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,315
438,1157,0,62,3173,14,0.107305936,5.942922374,1,60,0.9782,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,244
439,670,1,40,2949,18,0.109339408,7.430523918,1,47,0.9722,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,226
444,1259,0,54,2413,2,0.105855856,7.641891892,1,39,0.9408,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,260
445,15,1,64,1477,1,0.094382022,11.28988764,0,36,0.954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,275
445,561,1,56,3532,14,1.056179775,161.2831461,0,60,0.9606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2932
451,1510,1,47,1844,9,0.066518847,6.589800443,1,22,0.8992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,173
458,388,1,25,2671,20,0.491266376,15.27947598,0,46,0.9396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,887
459,59,2,26,1842,15,0.015250545,4.79956427,0,22,0.9008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,148
459,576,0,49,3555,16,0.300653595,18.75381264,1,54,0.9963,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,592
460,553,1,43,3482,14,0.289130435,8.593478261,0,63,0.9684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,391
